PID	Status	Label
-	0	com.apple.ucupdate.plist
-	0	com.apple.sysdiagnose_helper
-	0	com.apple.securechanneld
-	0	com.apple.ManagedClient.enroll
-	-9	com.apple.timezoneupdates.tzd
9617	-9	com.apple.AssetCache.builtin
8848	0	com.docker.vmnetd
-	0	com.apple.multiversed
-	0	com.apple.siri.acousticsignature
140	0	com.apple.locationd
9350	-9	com.apple.rtcreportingd
-	0	com.oracle.java.Helper-Tool
-	0	com.apple.Kerberos.kcm
339	0	com.apple.coreservices.sharedfilelistd
-	0	com.apple.loginwindow
-	0	com.apple.efilogin-helper
-	0	com.apple.ReportMemoryException
-	-9	com.apple.sysextd
-	0	com.apple.cmio.iOSScreenCaptureAssistant
154	0	com.displaylink.displaylinkmanager
-	0	com.apple.rapportd
163	0	com.apple.notifyd
1546	0	com.apple.driverkit.AppleUserHIDEventDriver.dfrv1-(0x100108125)
-	0	com.apple.managedconfiguration.teslad
-	0	com.apple.wifiFirmwareLoader
96	0	com.apple.fseventsd
-	0	com.apple.Kerberos.digest-service
-	0	com.apple.systempreferences.cacheAssistant
-	0	com.apple.automountd
-	0	com.apple.applefileutil
-	0	com.vix.cron
375	0	com.apple.thermald
561	0	com.apple.FileCoordination
-	0	com.apple.eapolcfg_auth
-	0	com.apple.audio.RemoteProcessingBlockRegistrar
-	-9	com.apple.audio.AudioComponentRegistrar
-	-9	com.apple.AssetCacheLocatorService
-	0	com.apple.InstallerDiagnostics.installerdiagd
-	-9	com.apple.softwareupdated
-	0	com.apple.systemadministration.writeconfig
-	0	com.apple.MobileAccessoryUpdater
-	0	com.apple.diskmanagementstartup
-	0	com.apple.signpost.signpost_reporter
-	0	com.apple.postfix.master
-	-9	com.apple.emond.aslmanager
-	0	com.apple.ckdiscretionaryd
408	0	com.apple.SubmitDiagInfo
-	0	com.microsoft.office.licensingV2.helper
-	-9	com.apple.bootinstalld
-	0	com.apple.mbsystemadministration
-	0	com.apple.cmio.AppleCameraAssistant
-	0	com.apple.msrpc.mdssvc
-	0	com.apple.dpd
-	0	com.apple.security.agent.login.00000000-0000-0000-0000-0000000186A6
-	0	com.apple.corestorage.corestoragehelperd
-	-9	com.apple.ReportCrash.Root
93351	-9	com.apple.trustd
-	0	com.apple.cmio.IIDCVideoAssistant
-	78	com.apple.metrickitd
89875	0	com.oracle.java.Java-Updater
164	0	com.apple.security.syspolicy
-	-9	com.apple.biometrickitd
-	-9	com.apple.usbd
165	0	com.apple.distnoted.xpc.daemon
277	0	com.apple.mDNSResponder.reloaded
-	0	com.apple.bridgeOSUpdateProxy
-	0	com.apple.bsd.dirhelper
152	0	com.apple.revisiond
-	0	com.apple.smb.preferences
-	0	com.apple.findmymacd
171	0	com.apple.cfprefsd.xpc.daemon
380	0	com.apple.xartstorageremoted
-	0	com.apple.unmountassistant.sysagent
-	-9	com.apple.lskdd
94	0	com.apple.uninstalld
-	-9	com.apple.colorsync.displayservices
-	-9	com.apple.xpc.smd
-	0	com.apple.gkreport
-	-9	com.apple.endpointsecurity.endpointsecurityd
-	-9	com.apple.colorsyncd
-	0	com.apple.backupd
371	0	com.apple.eoshostd
-	0	com.apple.airport.wps
8745	-9	com.apple.MobileFileIntegrity
-	0	com.apple.netauth.sys.auth
-	0	com.apple.testmanagerd
-	0	com.apple.nfsconf
9596	-9	com.apple.mobile.keybagd
-	0	com.avira.antivirus.dbcleaner
-	0	com.apple.configureLocalKDC
8586	-9	com.apple.spindump
-	0	com.apple.lockd
120	0	com.apple.metadata.mds
-	0	com.apple.wwand
377	0	com.apple.cmio.VDCAssistant
-	0	com.apple.driver.eficheck
-	0	com.apple.printtool.daemon
-	0	com.apple.pfctl
-	0	com.apple.security.authhost
-	0	com.apple.CommCenterRootHelper
-	0	com.apple.security.agent.login
-	0	com.apple.ionodecache
-	0	com.apple.gssd
1252	0	com.apple.CryptoTokenKit.ahp
-	-9	com.apple.PerformanceAnalysis.animationperfd
-	0	com.adobe.fpsaud
-	0	com.apple.afpfs_afpLoad
134	0	com.apple.coreservices.launchservicesd
-	0	com.apple.dynamic_pager
192	0	com.apple.loginwindow.D83C8E8D-D712-4080-8C7C-3A0F0A1D4AD2
141	0	org.pqrs.karabiner.karabiner_kextd
-	0	com.microsoft.OneDriveUpdaterDaemon
-	0	com.adobe.ARMDC.SMJobBlessHelper
-	0	com.apple.csrutil.report
-	0	com.apple.iokit.ioserviceauthorized
-	0	com.apple.Kerberos.kdc
-	0	com.apple.locate
-	0	com.apple.msrpc.srvsvc
-	0	com.apple.osanalytics.osanalyticshelper
-	0	com.apple.bnepd
-	0	com.apple.dpaudiothru
-	0	com.apple.familycontrols
-	0	com.apple.diagnosticextensions.osx.timemachine.helper
-	0	com.apple.kcproxy
1586	0	com.adobe.acc.installer.v2
9610	-9	com.apple.adid
472	0	com.apple.AmbientDisplayAgent
-	0	com.apple.storeagent.daemon
1470	0	com.apple.driverkit.AppleUserHIDEventDriver-(0x10000075b)
-	-9	com.apple.wifivelocityd
-	0	com.apple.installandsetup.systemmigrationd
-	0	com.apple.metadata.mds.spindump
-	0	com.apple.Kerberos.kpasswdd
8552	-9	com.apple.WirelessRadioManager
9597	-9	com.apple.mobileassetd
-	0	com.apple.InstallerDiagnostics.installerdiagwatcher
-	0	com.apple.UpdateSettings
-	0	com.apple.msrpc.wkssvc
-	-9	com.apple.nfcd
-	0	com.apple.warmd
-	0	com.teamviewer.Helper
-	0	com.apple.powerd.swd
-	0	com.apple.ManagedClient
-	0	com.apple.xpc.uscwoap
123	0	com.apple.diskarbitrationd
9613	-9	com.apple.dprivacyd
8782	-9	com.apple.backupd-helper
-	0	com.microsoft.autoupdate.helper
-	0	com.apple.netauth.sys.gui
-	0	com.apple.postfix.newaliases
-	0	com.apple.systemstats.daily
-	0	com.apple.bluetoothaudiod
-	0	com.apple.startupdiskhelper
-	-9	com.apple.ifdreader
130	0	com.apple.opendirectoryd
-	-9	com.apple.appstored
-	-9	com.apple.DataDetectorsSourceAccess
131	0	com.apple.apsd
-	0	com.apple.internal.aupbregistrarservice
-	0	com.apple.ManagedClient.cloudconfigurationd
8584	-9	com.apple.GameController.gamecontrollerd
370	0	com.apple.apfsd
146	0	com.apple.dasd
-	0	com.apple.sessionlogoutd
-	-9	com.apple.AssetCacheManagerService
-	0	com.apple.xtyped
-	0	com.apple.storeaccountd.daemon
-	0	com.apple.cmio.AVCAssistant
190	0	com.apple.analyticsd
8785	0	com.apple.diskmanagementd
8555	-9	com.apple.CodeSigningHelper
9604	-9	com.apple.sandboxd
395	0	com.apple.sysmond
160	0	com.apple.corebrightnessd
-	0	com.apple.tailspind
-	0	com.apple.storeassetd.daemon
